kashi_pair_address,pair_name,asset_token_address,asset_token_symbol,asset_token_decimals,collateral_token_address,collateral_token_symbol,collateral_token_decimals
0x026ea65ed519c7e48de14374506b2439ae4f7ff3,USDT.e / WAVAX,0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,6,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18
0x03bec481665bf43033ede87ac0639fdcd6189e4c,WAVAX / WETH.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,18
0x0d94a1b1feb81f0f57dcb1974fa9ad74494c20cd,WBTC.e / WAVAX,0x50b7545627a5162f82a992c33b87adc75187b218,WBTC.e,8,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18
0x15166030894dc4a6eff405560a5d8c998fc521bc,WAVAX / AAVE.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0x63a72806098bd3d9520cc43356dd78afe5d386d9,AAVE.e,18
0x17e0a9f251aac01af4f99144cc39892b1dbd2bf8,xJOE / MIM,0x57319d41f71e81f3c65f2a47ca4e001ebafd4f33,xJOE,18,0x130966628846bfd36ff31a822705796e8cb8c18d,MIM,18
0x2ae95ee74a2f3d873318473db23fd96bc60655f2,DAI.e / USDT.e,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,DAI.e,18,0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,6
0x340c2ca1e7f32b08974542af39630208464e8669,WETH.e / USDT.e,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,18,0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,6
0x3878d0cbf27cc1187b0cf920a17cf252f08c981c,WAVAX / LINK.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0x5947bb275c521040051d82396192181b413227a3,LINK.e,18
0x3aa5780cd912cd600fe4f2c4ea8d4dfeb16579d1,WAVAX / MIM,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0x130966628846bfd36ff31a822705796e8cb8c18d,MIM,18
0x45ecabc5e035095b7a4bbd8a86953ff6b83ff70a,WETH.e / WAVAX,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18
0x48ac6a090176a7538349b714b8101e32b9dd4e47,WETH.e / USDC.e,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,18,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,6
0x635cc139a7a8ce7b5722a215a481aa2522c30719,USDC.e / WAVAX,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,6,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18
0x65d865b5280163ebf0e4928796f47eaee89a96d9,SUSHI.e / xJOE,0x37b608519f91f70f2eeb0e5ed9af4061722e4f76,SUSHI.e,18,0x57319d41f71e81f3c65f2a47ca4e001ebafd4f33,xJOE,18
0x685b570cfa3bf4889ce077f70b8a33a9b1c2e2c8,WAVAX / DAI.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,DAI.e,18
0x6a1c850c407892fbc9822d70d73a14e80419a5b3,WAVAX / SPELL,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xce1bffbd5374dac86a2893119683f4911a2f7814,SPELL,18
0x74590122c057e55c3891d21484b1fc624b0965af,WETH.e / LINK.e,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,18,0x5947bb275c521040051d82396192181b413227a3,LINK.e,18
0x795167fb9872fda4d552e3ef8945c8ecaa0144c2,USDC.e / LINK.e,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,6,0x5947bb275c521040051d82396192181b413227a3,LINK.e,18
0x7f6dbc78253894d68295d155ee4a6e79c57e58ca,WAVAX / USDC.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,6
0x84336c6e521368691a244c88fd4743efab6fd582,USDT.e / USDC.e,0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,6,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,6
0x8e704666fb4d759a4a4eebf6a4cbad8d89a2586d,USDC.e / WAVAX,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,6,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18
0x94415a25de78aff66a8a412d9ee0802c87a380b7,WAVAX / USDT.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,6
0x97b785141274b71fda92e702688981e449349114,WAVAX / WAVAX,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18
